context,state,query_goal,class,membership,goal_set,goal_set_cardinality,umap_1,umap_2
0,"(1, 1)","(3, 3)",inside,1,"((3, 3),)",1,12.201412200927734,-19.31302833557129
0,"(1, 1)","(3, 3)",inside,1,"((3, 3), (9, 9))",2,12.212848663330078,-18.343210220336914
0,"(1, 1)","(3, 3)",inside,1,"((3, 3), (3, 9))",2,11.504390716552734,-19.52525520324707
0,"(1, 1)","(3, 3)",inside,1,"((3, 3), (3, 9), (9, 9))",3,11.281384468078613,-18.684337615966797
0,"(1, 1)","(3, 3)",inside,1,"((3, 3), (9, 3))",2,11.836381912231445,-18.805007934570312
0,"(1, 1)","(3, 3)",inside,1,"((3, 3), (9, 3), (9, 9))",3,11.58907699584961,-18.07636260986328
0,"(1, 1)","(3, 3)",inside,1,"((3, 3), (3, 9), (9, 3))",3,10.889514923095703,-19.115806579589844
0,"(1, 1)","(3, 3)",inside,1,"((3, 3), (3, 9), (9, 3), (9, 9))",4,10.97622013092041,-18.28132438659668
0,"(1, 1)","(3, 3)",outside,0,(),0,8.524540901184082,-18.30413818359375
0,"(1, 1)","(3, 3)",outside,0,"((9, 9),)",1,9.10509967803955,-18.873523712158203
0,"(1, 1)","(3, 3)",outside,0,"((3, 9),)",1,7.918679714202881,-18.259374618530273
0,"(1, 1)","(3, 3)",outside,0,"((3, 9), (9, 9))",2,8.898384094238281,-19.408437728881836
0,"(1, 1)","(3, 3)",outside,0,"((9, 3),)",1,7.592453956604004,-19.26007080078125
0,"(1, 1)","(3, 3)",outside,0,"((9, 3), (9, 9))",2,8.317756652832031,-19.74489402770996
0,"(1, 1)","(3, 3)",outside,0,"((3, 9), (9, 3))",2,7.88059663772583,-18.806198120117188
0,"(1, 1)","(3, 3)",outside,0,"((3, 9), (9, 3), (9, 9))",3,8.321267127990723,-19.139862060546875
1,"(4, 4)","(3, 9)",inside,1,"((3, 9),)",1,16.91115951538086,-1.7143875360488892
1,"(4, 4)","(3, 9)",inside,1,"((3, 9), (9, 9))",2,16.549938201904297,-1.109101414680481
1,"(4, 4)","(3, 9)",inside,1,"((3, 9), (9, 3))",2,17.51032257080078,-0.3099932372570038
1,"(4, 4)","(3, 9)",inside,1,"((3, 9), (9, 3), (9, 9))",3,16.591569900512695,-0.44346126914024353
1,"(4, 4)","(3, 9)",inside,1,"((3, 3), (3, 9))",2,-12.372779846191406,11.510068893432617
1,"(4, 4)","(3, 9)",inside,1,"((3, 3), (3, 9), (9, 9))",3,-12.987356185913086,11.153011322021484
1,"(4, 4)","(3, 9)",inside,1,"((3, 3), (3, 9), (9, 3))",3,-11.865545272827148,11.280144691467285
1,"(4, 4)","(3, 9)",inside,1,"((3, 3), (3, 9), (9, 3), (9, 9))",4,-11.71005630493164,10.287623405456543
1,"(4, 4)","(3, 9)",outside,0,(),0,17.660078048706055,-1.418555498123169
1,"(4, 4)","(3, 9)",outside,0,"((9, 9),)",1,17.13970375061035,-1.161749243736267
1,"(4, 4)","(3, 9)",outside,0,"((9, 3),)",1,17.762420654296875,-0.8584086298942566
1,"(4, 4)","(3, 9)",outside,0,"((9, 3), (9, 9))",2,17.013206481933594,-0.5821921825408936
1,"(4, 4)","(3, 9)",outside,0,"((3, 3),)",1,-12.341935157775879,10.876089096069336
1,"(4, 4)","(3, 9)",outside,0,"((3, 3), (9, 9))",2,-12.445486068725586,10.204145431518555
1,"(4, 4)","(3, 9)",outside,0,"((3, 3), (9, 3))",2,-12.736056327819824,10.615242004394531
1,"(4, 4)","(3, 9)",outside,0,"((3, 3), (9, 3), (9, 9))",3,-11.843095779418945,10.727785110473633
2,"(8, 7)","(3, 3)",inside,1,"((3, 3),)",1,-4.62151575088501,5.042568683624268
2,"(8, 7)","(3, 3)",inside,1,"((3, 3), (9, 9))",2,6.589015960693359,18.199567794799805
2,"(8, 7)","(3, 3)",inside,1,"((3, 3), (3, 9))",2,-5.214591026306152,4.922914505004883
2,"(8, 7)","(3, 3)",inside,1,"((3, 3), (3, 9), (9, 9))",3,6.607243061065674,17.73648452758789
2,"(8, 7)","(3, 3)",inside,1,"((3, 3), (9, 3))",2,-5.031412124633789,4.498692989349365
2,"(8, 7)","(3, 3)",inside,1,"((3, 3), (9, 3), (9, 9))",3,5.9499430656433105,18.239500045776367
2,"(8, 7)","(3, 3)",inside,1,"((3, 3), (3, 9), (9, 3))",3,-5.349208354949951,5.7954607009887695
2,"(8, 7)","(3, 3)",inside,1,"((3, 3), (3, 9), (9, 3), (9, 9))",4,5.894477367401123,17.660968780517578
2,"(8, 7)","(3, 3)",outside,0,(),0,-5.165554523468018,5.375104904174805
2,"(8, 7)","(3, 3)",outside,0,"((9, 9),)",1,6.9961628913879395,17.242177963256836
2,"(8, 7)","(3, 3)",outside,0,"((3, 9),)",1,-6.0022687911987305,5.0535569190979
2,"(8, 7)","(3, 3)",outside,0,"((3, 9), (9, 9))",2,6.67253303527832,16.7420597076416
2,"(8, 7)","(3, 3)",outside,0,"((9, 3),)",1,-5.682690620422363,4.693663120269775
2,"(8, 7)","(3, 3)",outside,0,"((9, 3), (9, 9))",2,5.783456325531006,17.124065399169922
2,"(8, 7)","(3, 3)",outside,0,"((3, 9), (9, 3))",2,-5.906736373901367,5.6652512550354
2,"(8, 7)","(3, 3)",outside,0,"((3, 9), (9, 3), (9, 9))",3,6.268472194671631,17.01227569580078
3,"(11, 11)","(9, 9)",inside,1,"((9, 9),)",1,5.781739711761475,-1.17767333984375
3,"(11, 11)","(9, 9)",inside,1,"((3, 9), (9, 9))",2,6.471351146697998,-0.331825315952301
3,"(11, 11)","(9, 9)",inside,1,"((9, 3), (9, 9))",2,6.470294952392578,-1.8177555799484253
3,"(11, 11)","(9, 9)",inside,1,"((3, 9), (9, 3), (9, 9))",3,7.356389999389648,-1.894371509552002
3,"(11, 11)","(9, 9)",inside,1,"((3, 3), (9, 9))",2,6.3289971351623535,-0.8615044355392456
3,"(11, 11)","(9, 9)",inside,1,"((3, 3), (3, 9), (9, 9))",3,7.21104097366333,-0.5832679271697998
3,"(11, 11)","(9, 9)",inside,1,"((3, 3), (9, 3), (9, 9))",3,6.877403736114502,-1.3307712078094482
3,"(11, 11)","(9, 9)",inside,1,"((3, 3), (3, 9), (9, 3), (9, 9))",4,7.537698745727539,-1.208429217338562
3,"(11, 11)","(9, 9)",outside,0,(),0,4.751096725463867,-2.758565902709961
3,"(11, 11)","(9, 9)",outside,0,"((3, 9),)",1,5.38776159286499,-3.797227382659912
3,"(11, 11)","(9, 9)",outside,0,"((9, 3),)",1,5.367403030395508,-2.276756525039673
3,"(11, 11)","(9, 9)",outside,0,"((3, 9), (9, 3))",2,6.536208629608154,-3.4041738510131836
3,"(11, 11)","(9, 9)",outside,0,"((3, 3),)",1,5.141800880432129,-3.2304930686950684
3,"(11, 11)","(9, 9)",outside,0,"((3, 3), (3, 9))",2,5.910546779632568,-3.570324182510376
3,"(11, 11)","(9, 9)",outside,0,"((3, 3), (9, 3))",2,5.663973331451416,-2.8014397621154785
3,"(11, 11)","(9, 9)",outside,0,"((3, 3), (3, 9), (9, 3))",3,6.321560859680176,-2.855278253555298
