slip_prob |           task |        converged |   mean_steps |   std_steps |  mean_final_subopt_%
----------+----------------+------------------+--------------+-------------+---------------------
     0.00 |      universal |              0/3 |     400000.0 |         0.0 |               0.0000
     0.00 |          empty |              0/3 |     400000.0 |         0.0 |               0.0000
     0.00 |    base_task_0 |              0/3 |     400000.0 |         0.0 |               0.0000
     0.00 |    base_task_1 |              0/3 |     400000.0 |         0.0 |               0.0000
     0.00 |    base_task_2 |              0/3 |     400000.0 |         0.0 |               0.0000
     0.05 |      universal |              0/3 |     400000.0 |         0.0 |               0.0303
     0.05 |          empty |              0/3 |     400000.0 |         0.0 |               0.0793
     0.05 |    base_task_0 |              0/3 |     400000.0 |         0.0 |               1.0600
     0.05 |    base_task_1 |              0/3 |     400000.0 |         0.0 |               0.0981
     0.05 |    base_task_2 |              0/3 |     400000.0 |         0.0 |               0.0713
     0.10 |      universal |              0/3 |     400000.0 |         0.0 |               0.0688
     0.10 |          empty |              0/3 |     400000.0 |         0.0 |               0.1294
     0.10 |    base_task_0 |              0/3 |     400000.0 |         0.0 |               3.3574
     0.10 |    base_task_1 |              0/3 |     400000.0 |         0.0 |               0.3179
     0.10 |    base_task_2 |              0/3 |     400000.0 |         0.0 |               0.2631
     0.20 |      universal |              0/3 |     400000.0 |         0.0 |               0.2204
     0.20 |          empty |              0/3 |     400000.0 |         0.0 |               0.2907
     0.20 |    base_task_0 |              0/3 |     400000.0 |         0.0 |               7.5497
     0.20 |    base_task_1 |              0/3 |     400000.0 |         0.0 |               0.7173
     0.20 |    base_task_2 |              0/3 |     400000.0 |         0.0 |               0.7358
     0.30 |      universal |              0/3 |     400000.0 |         0.0 |               0.4286
     0.30 |          empty |              0/3 |     400000.0 |         0.0 |               0.7471
     0.30 |    base_task_0 |              0/3 |     400000.0 |         0.0 |              19.5035
     0.30 |    base_task_1 |              0/3 |     400000.0 |         0.0 |               8.0809
     0.30 |    base_task_2 |              0/3 |     400000.0 |         0.0 |               6.9288
     0.50 |      universal |              0/3 |     400000.0 |         0.0 |             170.4487
     0.50 |          empty |              0/3 |     400000.0 |         0.0 |              90.0072
     0.50 |    base_task_0 |              0/3 |     400000.0 |         0.0 |             256.6868
     0.50 |    base_task_1 |              0/3 |     400000.0 |         0.0 |            1324.6804
     0.50 |    base_task_2 |              0/3 |     400000.0 |         0.0 |            2483.9259
